Codigos ;Municipios;V01;V02;V03;V04;V05;V06;V07;V08;V09;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;TD;TDC;TH;THC;TL;TLC
5203559;Bonfinópolis ;3.58;83.65089121;16.34910879;60.5036139;39.4963861;26.25320588;20.28444859;5.992072744;6.738167405;6.92469107;33.83072977;60.60153185;3.848309359;0;33.98094526;0.410984495;156.36;0;4.423592493;93.36461126;82.97587131;17.02412869;78.61930295;20.84450402;0.536193029;82.46;17.54;53.03678358;1 - Baixa;38.29803531;4 - Muito Alta ;0;1 - Baixa
5217302;Pirenópolis ;3.59;88.79462142;11.20537858;52.77161863;47.22838137;25.62142607;16.95063601;6.097560976;5.531567277;4.621309371;41.16583032;54.18216051;2.329959991;0.141209696;42.44292775;0.164744646;0.344;4.197616169;7.306961479;75.33252721;57.92019347;42.07980653;63.758853;34.46191052;1.779236483;81.83;18.17;66.37867453;1 - Baixa;22.93083317;4 - Muito Alta ;0;1 - Baixa
5200506;Aloândia ;2.56;95.6937799;4.306220096;57.11947627;42.88052373;41.78941626;21.9858156;5.019094381;4.091653028;3.98254228;23.18603382;48.1716236;3.559239395;5.216967333;42.95465627;0.097513408;24.895;0.75;21.625;77.5;86.5;13.5;83.5;14.375;2.125;86.2;13.8;307.5594885;3 - Alta ;24.19833074;4 - Muito Alta ;0;1 - Baixa
5207535;Faina ;2.92;91.63533835;8.364661654;58.27552032;41.72447968;42.93738642;18.42061788;3.667602842;2.114653891;1.635552619;31.22418635;36.15924388;8.449090649;1.389087785;53.88801375;0.114563941;26.848;0.467687075;9.481292517;84.60884354;53.31632653;46.68367347;50.08503401;31.97278912;17.94217687;83.4;16.6;378.8968825;3 - Alta ;34.27743174;4 - Muito Alta ;0;1 - Baixa
5204557;Caldazinha ;3.02;89.97050147;10.02949853;58.80514067;41.19485933;38.65925669;16.95032998;6.495310872;3.890239667;2.67453977;31.29558875;49.83458647;4.812030075;2.766917293;42.58646617;0;30.577;2.179836512;43.96003633;53.76930064;72.47956403;27.52043597;58.21980018;32.97002725;8.81017257;90.3;9.7;494.5072142;3 - Alta ;20.13557957;4 - Muito Alta ;0;1 - Baixa
5202502;Aruanã ;3.1;89.72537879;10.27462121;63.60692893;36.39307107;33.75424964;23.765582;7.333657115;4.743402946;4.613890239;25.80540716;31.33671291;11.52614728;0.413553895;53.57524013;3.148345784;65.929;1.247920133;28.7437604;68.59400998;81.07321131;18.92678869;62.06322795;36.73044925;1.206322795;88.6;11.4;527.5766819;3 - Alta ;24.82621648;4 - Muito Alta ;0;1 - Baixa
5206800;Damolândia ;2.87;90.56152927;9.438470729;59.51585977;40.48414023;42.98831386;18.07178631;6.552587646;4.590984975;2.295492487;25.50083472;51.76556243;2.147797597;0.291226793;45.79541318;0;7.783;0.104493208;21.94357367;77.84743992;86.8338558;13.1661442;75.96656217;23.40647858;0.626959248;88.1;11.9;653.2643776;4 - Muito Alta ;21.14292618;4 - Muito Alta ;0;1 - Baixa
5216403;Paraúna ;3.05;88.78476421;11.21523579;59.45800624;40.54199376;30.22905689;23.35735025;6.301752877;3.634799441;3.688568663;32.79922572;47.00359017;5.661419497;0.736444813;46.49728436;0.110466722;6.174;58.81515238;4.756479635;36.20051267;75.30618058;24.69381942;74.36627741;23.09883224;2.534890345;89.3;10.7;1240.196423;5 - Hiperendêmica ;35.23504713;4 - Muito Alta ;0;1 - Baixa
5212907;Marzagão ;2.92;93.32220367;6.677796327;57.51964085;42.48035915;33.22109989;26.71156004;6.116722783;4.320987654;3.928170594;25.70145903;53.13706564;2.22007722;3.137065637;41.45752896;0;38.18;0;1.692524683;98.30747532;88.43441467;11.56558533;86.45980254;13.25811001;0.282087447;90.5;9.5;1721.214612;5 - Hiperendêmica ;27.75678885;4 - Muito Alta ;0;1 - Baixa
5220058;São João da Paraúna ;3.18;90.05934718;9.940652819;52.4911032;47.5088968;27.99525504;19.86951364;3.262158956;5.516014235;7.295373666;36.06168446;76.63043478;1.679841897;0;21.68972332;0;36.104;1.421800948;74.40758294;18.48341232;61.13744076;38.86255924;61.45339652;38.54660348;0;84.52;15.48;0;1 - Baixa;160.0559069;5 - Hiperendêmica ;0;1 - Baixa
5213905;Mossâmedes ;3.36;95.4674221;4.532577904;49.2248062;50.7751938;31.47694818;13.23949408;3.692370461;4.385964912;4.161566708;43.04365565;61.65311653;2.083333333;0;35.89092141;0.152439024;13.065;1.924198251;0.991253644;85.65597668;50.43731778;49.56268222;63.73177843;33.9941691;2.274052478;83.17;16.83;10.72915326;1 - Baixa;117.5841796;5 - Hiperendêmica ;0;1 - Baixa
5219753;Santo Antônio do Descoberto ;3.96;87.76383343;12.23616657;52.30985329;47.69014671;14.18426803;17.5866195;7.283321194;6.739673291;4.221725107;49.98959526;38.81149199;5.358691254;0.17920111;54.30371698;0.454746903;82.408;0.269334359;1.06964217;96.00615621;53.22046941;46.77953059;63.58599461;26.68718738;9.726818007;79.76;20.24;15.80566329;1 - Baixa;67.57943963;5 - Hiperendêmica ;0;1 - Baixa
5208509;Goiandira ;3.19;89.21749846;10.78250154;52.04250295;47.95749705;24.10861865;17.56788666;5.59622196;6.540731995;7.46162928;38.7012987;60.05637206;4.207771291;0;35.53452788;0.20132877;44.896;4.296875;0;92.44791667;81.18489583;18.81510417;83.3984375;16.27604167;0.325520833;88.04;11.96;34.18803419;1 - Baixa;114.2306634;5 - Hiperendêmica ;0;1 - Baixa
5203609;Brazabrantes ;3.4;93.47568209;6.524317912;54.58553792;45.41446208;30.335097;16.35802469;6.437389771;5.202821869;3.615520282;38.0952381;59.01875902;0.721500722;0.324675325;39.75468975;0;185.55;0.247218789;14.46229913;84.42521632;78.368356;21.631644;66.62546354;33.25092707;0.123609394;82.69;17.31;36.33588896;1 - Baixa;183.1014049;5 - Hiperendêmica ;0;1 - Baixa
5201306;Anicuns ;3.34;92.56085019;7.439149811;54.20760083;45.79239917;25.18097208;18.82755946;7.096690796;5.474405377;5.720010341;37.70036194;61.38957023;2.607443745;0;35.35779034;0;19.575;16.62784447;50.13438452;24.29672102;74.01899301;25.98100699;71.85092277;27.62945709;0.51962014;84.05;15.95;43.5132477;1 - Baixa;90.28064383;5 - Hiperendêmica ;0;1 - Baixa
5210000;Inhumas ;3.47;91.70272527;8.297274729;59.32082118;40.67917882;24.04645275;19.58005394;6.665198965;6.362485552;7.449501899;35.89905884;53.50479532;3.517324646;0.24375242;41.65432717;0.355377361;11.846;26.97284345;6.573482428;62.57188498;91.00638978;8.993610224;73.9456869;25.79073482;0.263578275;86.27;13.73;46.19660022;1 - Baixa;88.17051411;5 - Hiperendêmica ;0;1 - Baixa
5300108;Brasília ;3.71;87.14611961;12.85388039;61.95997907;38.04002093;9.580456385;13.70095573;7.12635141;8.672473113;23.09838063;37.82132244;49.15296132;4.800340883;0.389830856;44.77033814;0.348780633;8.526;83.47630629;6.253378033;9.588500811;96.14046044;3.859539565;88.6782944;7.016083089;4.305622508;91.18;8.82;47.14999961;1 - Baixa;127.7011293;5 - Hiperendêmica ;0;1 - Baixa
5212105;Joviânia ;3.27;94.15016122;5.849838784;59.82633351;40.17366649;26.79425837;18.18181818;7.141591352;4.53659401;7.106149211;36.23958887;64.9188876;2.462340672;0;31.86558517;0.246234067;38.621;0.430004778;2.054467272;95.26994744;83.61204013;16.38795987;75.53750597;23.98471094;0.477783086;85.6;14.4;52.21932115;1 - Baixa;84.87500829;5 - Hiperendêmica ;0;1 - Baixa
5222054;Vicentinópolis ;3.48;95.861678;4.138321995;56.04897282;43.95102718;22.32828388;19.54762399;5.831085287;6.474372276;6.681884209;39.13675036;69.44305902;2.942643392;0.565253533;26.06816293;0;89.146;1.223063483;17.82178218;77.92661619;81.24635993;18.75364007;82.81887012;17.06464764;0.116482236;82.52;17.48;85.48682969;1 - Baixa;121.2209302;5 - Hiperendêmica ;0;1 - Baixa
5206701;Damianópolis ;3.11;90.50701187;9.492988134;62.00716846;37.99283154;44.7311828;13.44086022;2.795698925;2.437275986;0.860215054;35.77060932;32.22964763;8.718104496;0.091130012;58.93074119;0.030376671;90.306;0.957854406;10.34482759;79.88505747;64.75095785;35.24904215;72.50957854;7.375478927;20.11494253;82.3;17.7;126.1620186;2 - Média;88.75978375;5 - Hiperendêmica ;0;1 - Baixa
5210406;Itaberaí ;3.39;92.63602251;7.363977486;60.88785661;39.11214339;28.13006705;18.87023971;6.144002805;4.811779657;6.349971515;35.68955695;48.57778256;3.088346067;0.071738585;46.83094803;1.083252627;82.555;3.978345713;0.906458517;90.93541483;73.15875614;26.84124386;67.93402996;31.22246003;0.843510009;81.79;18.21;127.8706024;2 - Média;46.41060389;5 - Hiperendêmica ;0;1 - Baixa
5211206;Itapuranga ;3.35;93.99877526;6.00122474;58.31800852;41.68199148;32.82798834;16.31755999;4.682664275;4.566046199;5.454137699;36.15608881;51.15931189;2.397157816;0.09723261;45.50860135;0.321615557;16.714;0.38075898;0.710750095;92.23251682;63.70097728;36.29902272;71.56999619;27.57964209;0.850361721;81.74;18.26;172.0218182;2 - Média;60.37961441;5 - Hiperendêmica ;0;1 - Baixa
5216809;Petrolina de Goiás ;3.1;85.55885262;14.44114738;56.87230037;43.12769963;39.11165264;22.03145769;6.357997342;3.843597696;2.536552946;26.12981834;44.17971409;2.684041622;3.491199066;49.60614607;0.038899154;25.734;0.609570253;6.827186833;92.25845779;69.24718074;30.75281926;62.75525754;33.83114904;3.413593417;90.8;9.2;174.7190113;2 - Média;56.4750858;5 - Hiperendêmica ;0;1 - Baixa
5209705;Hidrolândia ;3.5;88.90296428;11.09703572;57.89374883;42.10625117;23.3996621;20.62136287;8.363056129;5.500281584;6.185470246;35.93016707;68.27907688;2.896224973;0.137551582;27.98410515;0.038208773;155.131;0.297538545;7.492561536;89.74844468;56.93805788;43.06194212;51.44711929;48.06599946;0.486881255;84.12;15.88;193.7501945;2 - Média;73.81905223;5 - Hiperendêmica ;0;1 - Baixa
5213103;Mineiros ;3.63;84.80708086;15.19291914;61.22670065;38.77329935;22.44065636;18.13286602;7.143539908;7.102118847;8.405289151;36.77234348;51.19669947;8.512710127;0.079438294;39.80114801;0.140938909;69.955;69.4606277;0.535613606;26.60214245;86.8163879;13.1836121;87.88761511;11.58616801;0.526216877;84.98;15.02;197.0323584;2 - Média;65.36397413;5 - Hiperendêmica ;0;1 - Baixa
5200159;Adelândia ;2.91;93.76623377;6.233766234;59.84178688;40.15821312;43.43575419;20.76350093;4.981378026;3.072625698;2.839851024;24.95344507;38.87767461;2.704884941;1.655228099;56.68146952;0.080742834;17.02;0;22.98578199;76.54028436;88.15165877;11.84834123;85.18957346;14.21800948;0.592417062;86.4;13.6;206.6388217;2 - Média;261.5918542;5 - Hiperendêmica ;0;1 - Baixa
5203203;Barro Alto ;3.59;89.9339934;10.0660066;56.37557191;43.62442809;31.11199523;17.82375174;4.257012134;2.765068629;3.162920231;40.89914462;61.09422492;10.28635418;0;28.13949768;0;83.717;0.057770075;0.173310225;84.28653957;71.34604275;28.65395725;66.37781629;31.02253033;2.59965338;75.29;24.71;214.0152554;2 - Média;100.887214;5 - Hiperendêmica ;0;1 - Baixa
5213400;Moiporá ;2.75;93.9047619;6.095238095;51.72634271;48.27365729;40.28132992;16.30434783;4.603580563;3.58056266;2.046035805;33.1202046;52.80771412;3.233125355;0.45377198;43.33522405;0.170164492;10.192;3.616352201;5.660377358;90.40880503;66.50943396;33.49056604;66.82389937;26.57232704;6.603773585;85.7;14.3;228.6087524;2 - Média;362.5586012;5 - Hiperendêmica ;0;1 - Baixa
5216908;Pilar de Goiás ;3.02;92.88389513;6.991260924;52.49073693;47.50926307;42.52778921;13.6681762;4.24042816;2.923013586;1.934952655;34.74680939;36.99963938;4.363505229;3.498016589;54.95852867;0.21637216;49.448;0.443951165;1.331853496;87.68035516;42.61931188;57.38068812;45.61598224;42.95227525;11.43174251;88.7;11.3;246.0442031;2 - Média;49.24175393;5 - Hiperendêmica ;0;1 - Baixa
5219902;São Francisco de Goiás ;3.01;89.87271721;10.07194245;61.70819859;38.29180141;43.59901084;17.88092068;3.328894807;3.366939319;2.320715237;29.50351912;37.74509804;4.738562092;3.676470588;53.83986928;0;39.805;0.891089109;0.792079208;97.82178218;72.92079208;27.07920792;70.2970297;28.36633663;1.336633663;86.3;13.7;257.3522887;2 - Média;69.27473204;5 - Hiperendêmica ;0;1 - Baixa
5219407;Santa Rita do Araguaia ;3.36;89.29471033;10.70528967;62.42350061;37.57649939;28.8127295;18.2619339;7.025703794;4.381884945;5.018359853;36.52386781;48.67308826;5.50422646;0;45.13465697;0;90.66;2.657807309;1.328903654;89.90033223;88.43853821;11.56146179;86.04651163;13.42192691;0.531561462;83.1;16.9;336.4657163;3 - Alta ;41.54024935;5 - Hiperendêmica ;0;1 - Baixa
5209903;Iaciara ;4.15;94.59749553;5.402504472;53.41885237;46.58114763;28.24418738;14.0419196;4.272133776;1.981445424;2.290688352;49.16962547;22.1956618;9.411243913;0.05312085;66.96768482;0;82.211;0.301204819;0.188253012;85.31626506;58.09487952;41.90512048;68.63704819;24.9246988;6.438253012;75.83;24.17;352.4000297;3 - Alta ;77.95987665;5 - Hiperendêmica ;0;1 - Baixa
5204656;Campinaçu ;3.03;92.53456221;7.373271889;51.70762847;48.29237153;37.85509097;16.37408235;2.872646026;2.361953399;1.563996169;39.00414938;42.64223195;11.73413567;1.805251641;43.79102845;0;71.113;0.496688742;7.201986755;88.0794702;59.18874172;40.81125828;58.44370861;21.35761589;20.1986755;87.9;12.1;369.1698181;3 - Alta ;86.61462192;5 - Hiperendêmica ;0;1 - Baixa
5218003;Porangatu ;3.59;90.66161268;9.338387319;58.00644899;41.99355101;26.86034499;16.42926463;4.81482641;4.680211627;6.840309301;40.37191247;44.61899831;4.950370015;0.666784533;48.15245119;0.361174955;12.98;0.356424785;1.105830744;89.31639554;79.73862182;20.26137818;64.74136355;34.60976056;0.648875891;85.05;14.95;390.5459044;3 - Alta ;48.58253315;5 - Hiperendêmica ;0;1 - Baixa
5200803;Alvorada do Norte ;3.92;89.7939156;10.2060844;53.36787565;46.63212435;28.5475514;13.47150259;4.663212435;3.292662544;4.211933812;45.81313722;28.32010582;5.846560847;0.171957672;65.17195767;0.277777778;85.282;2.195504443;0.365917407;83.48144276;58.80815473;41.19184527;84.42237324;12.07527444;3.502352326;77.15;22.85;433.8059806;3 - Alta ;40.14022318;5 - Hiperendêmica ;0;1 - Baixa
5206503;Cromínia ;2.82;91.11933395;8.788159112;49.22430511;50.77569489;34.68002586;19.32773109;5.753070459;2.941176471;3.102779573;34.19521655;57.0464135;2.897327707;2.728551336;37.32770745;0;1.102;1.909307876;48.13046937;49.56245028;78.28162291;21.71837709;78.20206842;18.61575179;3.182179793;89.8;10.2;527.5571003;3 - Alta ;101.4576076;5 - Hiperendêmica ;0;1 - Baixa
5203575;Bonópolis ;3.1;85.36585366;14.63414634;56.72814208;43.27185792;39.87017424;19.54219337;4.748889648;2.28903314;1.400751623;32.14895798;30.28832429;11.21895518;0.827861833;57.66485869;0;184.533;0.489236791;39.62818004;49.90215264;63.40508806;36.59491194;56.75146771;40.01956947;3.228962818;83.2;16.8;565.8436214;3 - Alta ;49.54371834;5 - Hiperendêmica ;0;1 - Baixa
5221007;Taquaral de Goiás ;2.73;92.32175503;7.678244973;65.44486216;34.55513784;47.65037594;18.45238095;5.388471178;3.759398496;2.913533835;21.8358396;46.68172833;2.20276758;1.21434623;49.84467665;0.08472183;29.158;0.859375;4.6875;94.140625;81.25;18.75;78.59375;19.609375;1.796875;89.5;10.5;610.2661008;4 - Muito Alta ;56.21542679;5 - Hiperendêmica ;0;1 - Baixa
5200852;Americano do Brasil ;2.85;90.28436019;9.71563981;57.61894781;42.38105219;38.62921819;20.47788724;7.839027458;3.730874031;2.158876546;27.16411654;42.2476398;5.8097313;1.416122004;50.5265069;0;95.001;0.572320499;0.98855359;97.97086368;87.2528616;12.7471384;79.6566077;12.38293444;7.960457856;85.9;14.1;629.0991835;4 - Muito Alta ;105.4786871;5 - Hiperendêmica ;0;1 - Baixa
5204953;Campos Verdes ;3.59;91.29129129;8.708708709;57.77247414;42.22752586;27.38265712;12.2354813;4.105011933;3.309466985;3.675417661;49.2760541;34.21869182;4.952215465;0;59.17835423;0.906044433;139.035;0.089365505;0.848972297;86.63985702;40.0357462;59.9642538;52.63628239;46.60411081;0.759606792;78.08;21.92;700.3325478;4 - Muito Alta ;80.37354562;5 - Hiperendêmica ;0;1 - Baixa
